상품명,판매가격,판매업소,제조사
머거본 꿀땅콩(135g),2880,이마트이문점,머거본
허니버터 아몬드(250g),7490,롯데슈퍼G복대점,길림양행
샘표소면(1.1kg),4950,한민시장,샘표
옛날국수소면,2990,롯데슈퍼연수점,오뚜기
제일제면소 소면(900g),1980,이마트성서점,CJ제일제당
CJ 비비고 왕교자(910g),7980,롯데마트양주점,CJ제일제당
동원 개성 감자만두(550g*2봉),8480,롯데마트주엽점,동원
생야채돼지고기물만두(400g*2봉),7480,롯데마트평택점,CJ제일제당
풀무원 생물만두(300g*2봉),7980,롯데마트동두천점,풀무원
CJ 100% 국산 햇당면(400g),4400,롯데마트덕진점,CJ제일제당
옛날당면,5990,롯데슈퍼G방배점,오뚜기
고소한국산콩두부(부침용)(대상),3950,이마트청계천점,대상FNF
풀무원 국산콩두부(찌개용)(380g),3900,이마트안동점,풀무원
행복한콩 노릇하게잘구워지는 부침두부,1490,롯데슈퍼수성점,CJ제일제당
행복한콩 양념이잘배는 찌개두부,1100,이마트동해점,CJ제일제당
CJ 참쌀떡국떡(1kg),3480,롯데마트삼산점,CJ제일제당
생가득 우리쌀 떡국떡(700g),6400,이마트풍산점,풀무원
오뚜기 우리쌀 떡국떡(600g),3980,이마트풍산점,오뚜기
삼양라면 5개입,3600,천안남산중앙시장,삼양식품
신라면 5개입,3380,롯데슈퍼연수점,농심
진라면(순한맛) 5개입,2750,이마트창원점,오뚜기
오뚜기 찹쌀 왕만두피(300g),1990,롯데슈퍼G만수점,오뚜기
해태 찹쌀 왕만두피(360g),2500,천안남산중앙시장,해태제과
곰표 다목적밀가루(1kg),1130,롯데마트천안점,대한제분
백설 중력밀가루(1kg),1180,롯데마트수완점,CJ제일제당
큐원 영양강화밀가루(1kg),1090,롯데마트청라점,삼양사
백설부침가루(1kg),1950,농협유통양재점,CJ제일제당
오뚜기부침가루(1kg),2450,이마트하남점,오뚜기
1964 정통 크림빵,2180,롯데마트천안점,삼립식품
롯데 미니소보로(375g),2450,롯데마트주엽점,롯데제과
샤니 속이알찬 단팥빵(255g),2180,롯데마트석사점,샤니
샤니 요요꿀호떡(400g),2480,롯데마트진해점,샤니
보노 포르치니버섯스프(51.6g),2850,이마트포항이동점,농심
오뚜기 크림스프,1480,이마트미아점,오뚜기
옥수수 보노콘스프,2850,롯데마트주엽점,농심
청정원 우리쌀 크림스프,1590,롯데슈퍼이천점,대상
롯데 아이러브 토스트(750g),2500,롯데슈퍼G만수점,롯데제과
삼립 아침엔밀크토스트(330g),1090,롯데마트울산점,삼립식품
스페셜K 오리지널(480g),7380,롯데마트익산점,농심
켈로그 콘푸로스트(600g),6390,롯데슈퍼범서점,농심
포스트 콘푸라이트(600g),4180,이마트킨텍스점,동서식품
맛있는 미역국,1950,롯데슈퍼G마포점,오뚜기
오뚜기 맛있는 북어국(34g),1950,이마트하남점,오뚜기
3분 쇠고기 짜장,870,이마트자양점,오뚜기
3분 쇠고기 카레,870,이마트평택점,오뚜기
오뚜기 3분 백세카레 약간 매운맛,2600,순천역전시장,오뚜기
청정원 옛날식 짜장(180g),1480,이마트킨텍스점,대상
청정원 카레여왕 비프카레(160g),2490,롯데슈퍼G속초조양점,대상
CJ 햇반(210g*3개입),4680,이마트진주점,CJ제일제당
맛있는 오뚜기밥(210g*3개입),4590,롯데슈퍼G속초점,오뚜기
맛있는오뚜기밥(6개입) ,5100,이마트성서점,오뚜기
오뚜기 맛있는밥,1890,롯데슈퍼동소문점,오뚜기
햇반(엄마가해주신밥 6+2개입),8980,롯데마트수완점,CJ제일제당
햇반(엄마가해주신밥 단품),1580,이마트천호점,CJ제일제당
CJ 가쓰오 우동(4인분)(933.2g),7290,롯데슈퍼고양원흥점,CJ제일제당
사누끼 가쓰오 생우동,5800,롯데슈퍼G중동점,오뚜기
풀무원 생가득 가쓰오 우동(4인분),7980,이마트통영점,풀무원
동원 양반 쇠고기죽(288g),2180,롯데마트전주점,동원F&B
동원 양반 전복죽(288g),2790,롯데슈퍼개화산점,동원F&B
오뚜기 새송이 쇠고기죽(285g),1980,이마트하월곡점,오뚜기
오뚜기 전복죽(285g),2690,롯데슈퍼G마포점,오뚜기
대림 주부초밥짱(320g),4280,이마트풍산점,사조대림
새콤달콤 간편한 유부초밥 박사(160g*2),3280,농협유통부산점,한성기업
