레시피 코드,재료명,재료용량,재료타입명
195453,계란,5개,주재료
195453,전분,1/2T,주재료
195453,부침가루,1/2T,주재료
195453,소금,2t,주재료
195453,후추,1/2t,주재료
195453,참기름,1T,주재료
195453,밀가루,2CUP,주재료
195453,배추,2잎,주재료
195453,호박,1/2개,주재료
195453,대파,1대,주재료
195453,다짐육,200g,주재료
195453,콩비지,300g,주재료
195453,다진마늘,1T,주재료
195428,통깨,0.5T,양념
195428,마요네즈,1T,양념
195428,설탕,0.5T,양념
195428,식초,0.5T,양념
195428,두부,2.5T,양념
195428,소금,약간,주재료
195428,참기름,약간,주재료
195428,통깨,약간,주재료
195428,김밥용김,2장,주재료
195428,어린잎채소,약간,주재료
195428,가지,1/2개,주재료
195428,당근,1/2개,주재료
195428,밥,3공기,주재료
195428,오이,1/2개,주재료
180363,설탕,1+1/2T,양념
180363,통깨,약간,양념
180363,식초,2T,양념
180363,고추장,2T,양념
180363,소금,약간,주재료
180363,쪽파,15대,주재료
180363,중새우,15마리,주재료
180344,양파,1/8개,주재료
180344,방울토마토,15알,주재료
180344,밥,1공기,주재료
180344,물,280ml,부재료
180344,셀러리,1대,주재료
180344,후추,약간,주재료
180344,햄,50g,주재료
180344,달걀,2개,주재료
180344,카레가루,3T,부재료
180330,식빵,5쪽,주재료
180330,마요네즈,1T,주재료
180330,꿀,1/2T,주재료
180330,달걀노른자,1개,주재료
180330,우유,1cup,주재료
180330,고구마,2개(大),주재료
180330,소금,약간,주재료
180330,건블루베리,1/2T,주재료
120476,후추,약간,양념
120476,다진마늘,1/2T,부재료
120476,들기름,1T,양념
120476,통깨,약간,양념
120476,소금,3t,양념
120476,버섯,4개,부재료
120476,두부,1/2모,부재료
120476,당면,한줌,부재료
120476,당근,1/6개,부재료
120476,다짐육(소고기),100g,부재료
120476,다짐육(돼지고기),100g,부재료
120476,다진생강,2t,부재료
120476,간장,1T,양념
120476,달걀,1개,부재료
120476,미나리,10줄기,주재료
120476,배추잎,10장,주재료
120463,부침가루,6T,주재료
120463,양파,1/3개,주재료
120463,감자,2개,주재료
120463,당근채,약간,주재료
120463,당근잎,약간,주재료
120463,소금,약간,주재료
120441,고춧가루,2T,양념
120441,들기름,1T,양념
120441,설탕,1/2T,양념
120441,다진마늘,2T,양념
120441,무,1/3개,주재료
120441,양파,1/2개,주재료
120441,단호박,1개,주재료
120441,간장,1T,양념
120441,된장,1T,부재료
120441,고추장,1T,부재료
120441,쌀뜨물,4컵,주재료
120441,고등어,2마리,주재료
120441,청양고추,2개,주재료
120441,홍고추,1개,주재료
120419,매실액,3T,양념
120419,통깨,약간,양념
120419,참기름,2T,양념
120419,고추,1개,양념
120419,라이스페이퍼,10장,주재료
120419,연어살,200g,주재료
120419,무채,50g,주재료
120419,고사리,50g,주재료
120419,도라지,50g,주재료
120419,콩나물,50g,주재료
120419,시금치,50g,주재료
120401,애호박,1개,주재료
120401,어린잎채소,100g,주재료
120401,부침유,약간,주재료
120401,간장,2T,양념
120401,맛술,2T,양념
120401,통깨,약간,양념
120401,다진마늘,0.5T,양념
120401,식초,0.5T,양념
120401,청양고추,1개,양념
120401,대파,1/2대,양념
120401,참기름,약간,양념
120401,올리브유,1T,양념
120379,양파,1/2개,주재료
120379,단무지,50g,주재료
120379,아몬드,16알,주재료
120379,견과류,약간,주재료
120379,마요네즈,1T,양념
120379,꿀,1T,양념
120379,허브솔트,약간,양념
120379,소금,2t,양념
120379,머드터드,0.5T,양념
120379,식초,1T,양념
120379,황설탕,0.5T,양념
